J1,J2,J3,J4,J5,J6,gripper_mm
-62.008,20.012,-27.444,-12.429,49.325,-109.615,79.2
-72.982,78.473,-64.03,-3.433,75.632,-91.634,79.2
-58.645,96.267,-74.838,0.358,72.365,-91.634,79.2
